type,status,color,length,length_unit,label,tenant,description,a_device,a_type,a_name,b_device,b_type,b_name
cat6,connected,673ab7,2,m,SRV-03 NIC 2,Sprintpark IT,SRV-03 NIC 2,SRV-03,interface,GigabitEthernet1/0/2,ACC-06,interface,GigabitEthernet1/0/45
cat6,connected,673ab7,2,m,SRV-04 NIC 1,Sprintpark IT,SRV-04 NIC 1,SRV-04,interface,GigabitEthernet1/0/1,ACC-07,interface,GigabitEthernet1/0/46
cat6,connected,673ab7,2,m,SRV-04 NIC 2,Sprintpark IT,SRV-04 NIC 2,SRV-04,interface,GigabitEthernet1/0/2,ACC-08,interface,GigabitEthernet1/0/46
cat6,connected,673ab7,2,m,SRV-05 NIC 1,Sprintpark IT,SRV-05 NIC 1,SRV-05,interface,GigabitEthernet1/0/1,ACC-09,interface,GigabitEthernet1/0/45
cat6,connected,673ab7,2,m,SRV-05 NIC 2,Sprintpark IT,SRV-05 NIC 2,SRV-05,interface,GigabitEthernet1/0/2,ACC-10,interface,GigabitEthernet1/0/45
cat6,connected,673ab7,2,m,SRV-06 NIC 1,Sprintpark IT,SRV-06 NIC 1,SRV-06,interface,GigabitEthernet1/0/1,ACC-11,interface,GigabitEthernet1/0/46
cat6,connected,673ab7,2,m,SRV-06 NIC 2,Sprintpark IT,SRV-06 NIC 2,SRV-06,interface,GigabitEthernet1/0/2,ACC-12,interface,GigabitEthernet1/0/46
cat6,connected,673ab7,2,m,SRV-07 NIC 1,Sprintpark IT,SRV-07 NIC 1,SRV-07,interface,GigabitEthernet1/0/1,ACC-13,interface,GigabitEthernet1/0/45
cat6,connected,673ab7,2,m,SRV-07 NIC 2,Sprintpark IT,SRV-07 NIC 2,SRV-07,interface,GigabitEthernet1/0/2,ACC-14,interface,GigabitEthernet1/0/45
cat6,connected,673ab7,2,m,SRV-08 NIC 1,Sprintpark IT,SRV-08 NIC 1,SRV-08,interface,GigabitEthernet1/0/1,ACC-15,interface,GigabitEthernet1/0/46
cat6,connected,673ab7,2,m,SRV-08 NIC 2,Sprintpark IT,SRV-08 NIC 2,SRV-08,interface,GigabitEthernet1/0/2,ACC-16,interface,GigabitEthernet1/0/46
power,connected,795548,1,m,FW-01 PSU1,Sprintpark IT,FW-01 PSU1,FW-01,powerport,PSU1,PDU-01,poweroutlet,Outlet1
power,connected,795548,1,m,FW-02 PSU1,Sprintpark IT,FW-02 PSU1,FW-02,powerport,PSU1,PDU-01,poweroutlet,Outlet2
power,connected,795548,1,m,RTR-01 PSU1,Sprintpark IT,RTR-01 PSU1,RTR-01,powerport,PSU1,PDU-01,poweroutlet,Outlet3
power,connected,795548,1,m,RTR-02 PSU1,Sprintpark IT,RTR-02 PSU1,RTR-02,powerport,PSU1,PDU-01,poweroutlet,Outlet4
power,connected,795548,1,m,CORE-01 PSU1,Sprintpark IT,CORE-01 PSU1,CORE-01,powerport,PSU1,PDU-01,poweroutlet,Outlet5
power,connected,795548,1,m,CORE-01 PSU2,Sprintpark IT,CORE-01 PSU2,CORE-01,powerport,PSU2,PDU-02,poweroutlet,Outlet1
power,connected,795548,1,m,CORE-02 PSU1,Sprintpark IT,CORE-02 PSU1,CORE-02,powerport,PSU1,PDU-01,poweroutlet,Outlet6
power,connected,795548,1,m,CORE-02 PSU2,Sprintpark IT,CORE-02 PSU2,CORE-02,powerport,PSU2,PDU-02,poweroutlet,Outlet2
power,connected,795548,1,m,ACC-01 PSU1,Sprintpark IT,ACC-01 PSU1,ACC-01,powerport,PSU1,PDU-01,poweroutlet,Outlet7
power,connected,795548,1,m,ACC-01 PSU2,Sprintpark IT,ACC-01 PSU2,ACC-01,powerport,PSU2,PDU-02,poweroutlet,Outlet3
power,connected,795548,1,m,ACC-02 PSU1,Sprintpark IT,ACC-02 PSU1,ACC-02,powerport,PSU1,PDU-01,poweroutlet,Outlet8
power,connected,795548,1,m,ACC-02 PSU2,Sprintpark IT,ACC-02 PSU2,ACC-02,powerport,PSU2,PDU-02,poweroutlet,Outlet4
power,connected,795548,1,m,ACC-03 PSU1,Sprintpark IT,ACC-03 PSU1,ACC-03,powerport,PSU1,PDU-01,poweroutlet,Outlet9
power,connected,795548,1,m,ACC-03 PSU2,Sprintpark IT,ACC-03 PSU2,ACC-03,powerport,PSU2,PDU-02,poweroutlet,Outlet5
power,connected,795548,1,m,ACC-04 PSU1,Sprintpark IT,ACC-04 PSU1,ACC-04,powerport,PSU1,PDU-01,poweroutlet,Outlet10
power,connected,795548,1,m,ACC-04 PSU2,Sprintpark IT,ACC-04 PSU2,ACC-04,powerport,PSU2,PDU-02,poweroutlet,Outlet6
power,connected,795548,1,m,ACC-05 PSU1,Sprintpark IT,ACC-05 PSU1,ACC-05,powerport,PSU1,PDU-01,poweroutlet,Outlet11
power,connected,795548,1,m,ACC-05 PSU2,Sprintpark IT,ACC-05 PSU2,ACC-05,powerport,PSU2,PDU-02,poweroutlet,Outlet7
power,connected,795548,1,m,ACC-06 PSU1,Sprintpark IT,ACC-06 PSU1,ACC-06,powerport,PSU1,PDU-01,poweroutlet,Outlet12
power,connected,795548,1,m,ACC-06 PSU2,Sprintpark IT,ACC-06 PSU2,ACC-06,powerport,PSU2,PDU-02,poweroutlet,Outlet8
power,connected,795548,1,m,ACC-07 PSU1,Sprintpark IT,ACC-07 PSU1,ACC-07,powerport,PSU1,PDU-01,poweroutlet,Outlet13
power,connected,795548,1,m,ACC-07 PSU2,Sprintpark IT,ACC-07 PSU2,ACC-07,powerport,PSU2,PDU-02,poweroutlet,Outlet9
power,connected,795548,1,m,ACC-08 PSU1,Sprintpark IT,ACC-08 PSU1,ACC-08,powerport,PSU1,PDU-01,poweroutlet,Outlet14
power,connected,795548,1,m,ACC-08 PSU2,Sprintpark IT,ACC-08 PSU2,ACC-08,powerport,PSU2,PDU-02,poweroutlet,Outlet10
power,connected,795548,1,m,ACC-09 PSU1,Sprintpark IT,ACC-09 PSU1,ACC-09,powerport,PSU1,PDU-01,poweroutlet,Outlet15
power,connected,795548,1,m,ACC-09 PSU2,Sprintpark IT,ACC-09 PSU2,ACC-09,powerport,PSU2,PDU-02,poweroutlet,Outlet11
power,connected,795548,1,m,ACC-10 PSU1,Sprintpark IT,ACC-10 PSU1,ACC-10,powerport,PSU1,PDU-01,poweroutlet,Outlet16
power,connected,795548,1,m,ACC-10 PSU2,Sprintpark IT,ACC-10 PSU2,ACC-10,powerport,PSU2,PDU-02,poweroutlet,Outlet12
power,connected,795548,1,m,ACC-11 PSU1,Sprintpark IT,ACC-11 PSU1,ACC-11,powerport,PSU1,PDU-01,poweroutlet,Outlet17
power,connected,795548,1,m,ACC-11 PSU2,Sprintpark IT,ACC-11 PSU2,ACC-11,powerport,PSU2,PDU-02,poweroutlet,Outlet13
power,connected,795548,1,m,ACC-12 PSU1,Sprintpark IT,ACC-12 PSU1,ACC-12,powerport,PSU1,PDU-01,poweroutlet,Outlet18
power,connected,795548,1,m,ACC-12 PSU2,Sprintpark IT,ACC-12 PSU2,ACC-12,powerport,PSU2,PDU-02,poweroutlet,Outlet14
power,connected,795548,1,m,ACC-13 PSU1,Sprintpark IT,ACC-13 PSU1,ACC-13,powerport,PSU1,PDU-01,poweroutlet,Outlet19
power,connected,795548,1,m,ACC-13 PSU2,Sprintpark IT,ACC-13 PSU2,ACC-13,powerport,PSU2,PDU-02,poweroutlet,Outlet15
power,connected,795548,1,m,ACC-14 PSU1,Sprintpark IT,ACC-14 PSU1,ACC-14,powerport,PSU1,PDU-01,poweroutlet,Outlet20
power,connected,795548,1,m,ACC-14 PSU2,Sprintpark IT,ACC-14 PSU2,ACC-14,powerport,PSU2,PDU-02,poweroutlet,Outlet16
power,connected,795548,1,m,ACC-15 PSU1,Sprintpark IT,ACC-15 PSU1,ACC-15,powerport,PSU1,PDU-01,poweroutlet,Outlet21
power,connected,795548,1,m,ACC-15 PSU2,Sprintpark IT,ACC-15 PSU2,ACC-15,powerport,PSU2,PDU-02,poweroutlet,Outlet17
power,connected,795548,1,m,ACC-16 PSU1,Sprintpark IT,ACC-16 PSU1,ACC-16,powerport,PSU1,PDU-01,poweroutlet,Outlet22
power,connected,795548,1,m,ACC-16 PSU2,Sprintpark IT,ACC-16 PSU2,ACC-16,powerport,PSU2,PDU-02,poweroutlet,Outlet18
power,connected,795548,1,m,ACC-17 PSU1,Sprintpark IT,ACC-17 PSU1,ACC-17,powerport,PSU1,PDU-01,poweroutlet,Outlet23
power,connected,795548,1,m,ACC-17 PSU2,Sprintpark IT,ACC-17 PSU2,ACC-17,powerport,PSU2,PDU-02,poweroutlet,Outlet19
power,connected,795548,1,m,ACC-18 PSU1,Sprintpark IT,ACC-18 PSU1,ACC-18,powerport,PSU1,PDU-01,poweroutlet,Outlet24
power,connected,795548,1,m,ACC-18 PSU2,Sprintpark IT,ACC-18 PSU2,ACC-18,powerport,PSU2,PDU-02,poweroutlet,Outlet20
power,connected,795548,1,m,ACC-19 PSU1,Sprintpark IT,ACC-19 PSU1,ACC-19,powerport,PSU1,PDU-01,poweroutlet,Outlet25
power,connected,795548,1,m,ACC-19 PSU2,Sprintpark IT,ACC-19 PSU2,ACC-19,powerport,PSU2,PDU-02,poweroutlet,Outlet21
power,connected,795548,1,m,ACC-20 PSU1,Sprintpark IT,ACC-20 PSU1,ACC-20,powerport,PSU1,PDU-01,poweroutlet,Outlet26
power,connected,795548,1,m,ACC-20 PSU2,Sprintpark IT,ACC-20 PSU2,ACC-20,powerport,PSU2,PDU-02,poweroutlet,Outlet22
power,connected,795548,1,m,SRV-01 PSU1,Sprintpark IT,SRV-01 PSU1,SRV-01,powerport,PSU1,PDU-01,poweroutlet,Outlet27
power,connected,795548,1,m,SRV-01 PSU2,Sprintpark IT,SRV-01 PSU2,SRV-01,powerport,PSU2,PDU-02,poweroutlet,Outlet23
power,connected,795548,1,m,SRV-02 PSU1,Sprintpark IT,SRV-02 PSU1,SRV-02,powerport,PSU1,PDU-01,poweroutlet,Outlet28
power,connected,795548,1,m,SRV-02 PSU2,Sprintpark IT,SRV-02 PSU2,SRV-02,powerport,PSU2,PDU-02,poweroutlet,Outlet24
power,connected,795548,1,m,SRV-03 PSU1,Sprintpark IT,SRV-03 PSU1,SRV-03,powerport,PSU1,PDU-01,poweroutlet,Outlet29
power,connected,795548,1,m,SRV-03 PSU2,Sprintpark IT,SRV-03 PSU2,SRV-03,powerport,PSU2,PDU-02,poweroutlet,Outlet25
power,connected,795548,1,m,SRV-04 PSU1,Sprintpark IT,SRV-04 PSU1,SRV-04,powerport,PSU1,PDU-01,poweroutlet,Outlet30
power,connected,795548,1,m,SRV-04 PSU2,Sprintpark IT,SRV-04 PSU2,SRV-04,powerport,PSU2,PDU-02,poweroutlet,Outlet26
power,connected,795548,1,m,SRV-05 PSU1,Sprintpark IT,SRV-05 PSU1,SRV-05,powerport,PSU1,PDU-01,poweroutlet,Outlet31
power,connected,795548,1,m,SRV-05 PSU2,Sprintpark IT,SRV-05 PSU2,SRV-05,powerport,PSU2,PDU-02,poweroutlet,Outlet27
power,connected,795548,1,m,SRV-06 PSU1,Sprintpark IT,SRV-06 PSU1,SRV-06,powerport,PSU1,PDU-01,poweroutlet,Outlet32
power,connected,795548,1,m,SRV-06 PSU2,Sprintpark IT,SRV-06 PSU2,SRV-06,powerport,PSU2,PDU-02,poweroutlet,Outlet28
power,connected,795548,1,m,SRV-07 PSU1,Sprintpark IT,SRV-07 PSU1,SRV-07,powerport,PSU1,PDU-01,poweroutlet,Outlet33
power,connected,795548,1,m,SRV-07 PSU2,Sprintpark IT,SRV-07 PSU2,SRV-07,powerport,PSU2,PDU-02,poweroutlet,Outlet29
power,connected,795548,1,m,SRV-08 PSU1,Sprintpark IT,SRV-08 PSU1,SRV-08,powerport,PSU1,PDU-01,poweroutlet,Outlet34
power,connected,795548,1,m,SRV-08 PSU2,Sprintpark IT,SRV-08 PSU2,SRV-08,powerport,PSU2,PDU-02,poweroutlet,Outlet30
power,connected,795548,1,m,OOB-01 PSU1,Sprintpark IT,OOB-01 PSU1,OOB-01,powerport,PSU1,PDU-01,poweroutlet,Outlet35
power,connected,795548,1,m,OOB-01 PSU2,Sprintpark IT,OOB-01 PSU2,OOB-01,powerport,PSU2,PDU-02,poweroutlet,Outlet31
power,connected,795548,1,m,OOB-02 PSU1,Sprintpark IT,OOB-02 PSU1,OOB-02,powerport,PSU1,PDU-01,poweroutlet,Outlet36
power,connected,795548,1,m,OOB-02 PSU2,Sprintpark IT,OOB-02 PSU2,OOB-02,powerport,PSU2,PDU-02,poweroutlet,Outlet32
